"","GEOID","NAME","geometry","latitude","longitude"
"1","24033800102","Census Tract 8001.02, Prince George's County, Maryland",c(-76.8568474584136, 39.1061366618251),-76.8568474584136,39.1061366618251
"2","24033800103","Census Tract 8001.03, Prince George's County, Maryland",c(-76.8400840586084, 39.0966935181157),-76.8400840586084,39.0966935181157
"3","24033800105","Census Tract 8001.05, Prince George's County, Maryland",c(-76.875326376185, 39.1065482715624),-76.875326376185,39.1065482715624
"4","24033800106","Census Tract 8001.06, Prince George's County, Maryland",c(-76.8798103434095, 39.0951129258495),-76.8798103434095,39.0951129258495
"5","24033800108","Census Tract 8001.08, Prince George's County, Maryland",c(-76.8604365766388, 39.0957211280027),-76.8604365766388,39.0957211280027
"6","24033800109","Census Tract 8001.09, Prince George's County, Maryland",c(-76.8657030685298, 39.0989278672855),-76.8657030685298,39.0989278672855
"7","24033800203","Census Tract 8002.03, Prince George's County, Maryland",c(-76.8992814764033, 39.1028610490782),-76.8992814764033,39.1028610490782
"8","24033800206","Census Tract 8002.06, Prince George's County, Maryland",c(-76.8310960466202, 39.0479759206935),-76.8310960466202,39.0479759206935
"9","24033800208","Census Tract 8002.08, Prince George's County, Maryland",c(-76.8568078927386, 39.057994096157),-76.8568078927386,39.057994096157
"10","24033800209","Census Tract 8002.09, Prince George's County, Maryland",c(-76.8500163751789, 39.0864258620083),-76.8500163751789,39.0864258620083
"11","24033800210","Census Tract 8002.10, Prince George's County, Maryland",c(-76.8552529957828, 39.0768807785445),-76.8552529957828,39.0768807785445
"12","24033800211","Census Tract 8002.11, Prince George's County, Maryland",c(-76.8405179872229, 39.0784319414125),-76.8405179872229,39.0784319414125
"13","24033800212","Census Tract 8002.12, Prince George's County, Maryland",c(-76.8800797212989, 39.0795554823863),-76.8800797212989,39.0795554823863
"14","24033800213","Census Tract 8002.13, Prince George's County, Maryland",c(-76.8613438262281, 39.0867116153934),-76.8613438262281,39.0867116153934
"15","24033800214","Census Tract 8002.14, Prince George's County, Maryland",c(-76.8513080985764, 39.0699815076145),-76.8513080985764,39.0699815076145
"16","24033800215","Census Tract 8002.15, Prince George's County, Maryland",c(-76.8634110587737, 39.0689833659565),-76.8634110587737,39.0689833659565
"17","24033800401","Census Tract 8004.01, Prince George's County, Maryland",c(-76.7266113277424, 38.9954875415359),-76.7266113277424,38.9954875415359
"18","24033800402","Census Tract 8004.02, Prince George's County, Maryland",c(-76.7438992622909, 38.9837836461979),-76.7438992622909,38.9837836461979
"19","24033800403","Census Tract 8004.03, Prince George's County, Maryland",c(-76.7507857921807, 38.9982483010679),-76.7507857921807,38.9982483010679
"20","24033800408","Census Tract 8004.08, Prince George's County, Maryland",c(-76.8093007121326, 38.9741930263455),-76.8093007121326,38.9741930263455
"21","24033800409","Census Tract 8004.09, Prince George's County, Maryland",c(-76.7738310673912, 38.9838753675068),-76.7738310673912,38.9838753675068
"22","24033800410","Census Tract 8004.10, Prince George's County, Maryland",c(-76.7685857751374, 39.0136309326973),-76.7685857751374,39.0136309326973
"23","24033800411","Census Tract 8004.11, Prince George's County, Maryland",c(-76.8135933541219, 39.0218283536169),-76.8135933541219,39.0218283536169
"24","24033800412","Census Tract 8004.12, Prince George's County, Maryland",c(-76.8433496789894, 38.9839117776714),-76.8433496789894,38.9839117776714
"25","24033800413","Census Tract 8004.13, Prince George's County, Maryland",c(-76.8288515276148, 38.9861637920174),-76.8288515276148,38.9861637920174
"26","24033800504","Census Tract 8005.04, Prince George's County, Maryland",c(-76.7177499824261, 38.9712680228957),-76.7177499824261,38.9712680228957
"27","24033800505","Census Tract 8005.05, Prince George's County, Maryland",c(-76.7306615401691, 38.9581074960913),-76.7306615401691,38.9581074960913
"28","24033800507","Census Tract 8005.07, Prince George's County, Maryland",c(-76.7055131877193, 38.8995844178927),-76.7055131877193,38.8995844178927
"29","24033800509","Census Tract 8005.09, Prince George's County, Maryland",c(-76.7703577752468, 38.8887912392238),-76.7703577752468,38.8887912392238
"30","24033800511","Census Tract 8005.11, Prince George's County, Maryland",c(-76.7295043601522, 38.9113227205248),-76.7295043601522,38.9113227205248
"31","24033800513","Census Tract 8005.13, Prince George's County, Maryland",c(-76.7558765147801, 38.9599988444749),-76.7558765147801,38.9599988444749
"32","24033800514","Census Tract 8005.14, Prince George's County, Maryland",c(-76.7825434606306, 38.957834360453),-76.7825434606306,38.957834360453
"33","24033800515","Census Tract 8005.15, Prince George's County, Maryland",c(-76.7414813589797, 38.9402518479298),-76.7414813589797,38.9402518479298
"34","24033800516","Census Tract 8005.16, Prince George's County, Maryland",c(-76.7296181216779, 38.9457122679423),-76.7296181216779,38.9457122679423
"35","24033800517","Census Tract 8005.17, Prince George's County, Maryland",c(-76.7721842733322, 38.9122703826898),-76.7721842733322,38.9122703826898
"36","24033800518","Census Tract 8005.18, Prince George's County, Maryland",c(-76.7718449412743, 38.9325432420634),-76.7718449412743,38.9325432420634
"37","24033800519","Census Tract 8005.19, Prince George's County, Maryland",c(-76.72476590363, 38.9266862554686),-76.72476590363,38.9266862554686
"38","24033800520","Census Tract 8005.20, Prince George's County, Maryland",c(-76.7220967884874, 38.9394657879357),-76.7220967884874,38.9394657879357
"39","24033800601","Census Tract 8006.01, Prince George's County, Maryland",c(-76.7174589551256, 38.825110735259),-76.7174589551256,38.825110735259
"40","24033800604","Census Tract 8006.04, Prince George's County, Maryland",c(-76.7110248530664, 38.8507654482033),-76.7110248530664,38.8507654482033
"41","24033800605","Census Tract 8006.05, Prince George's County, Maryland",c(-76.7447390825455, 38.800236986047),-76.7447390825455,38.800236986047
"42","24033800606","Census Tract 8006.06, Prince George's County, Maryland",c(-76.7633237520872, 38.8279785988135),-76.7633237520872,38.8279785988135
"43","24033800607","Census Tract 8006.07, Prince George's County, Maryland",c(-76.7756833714266, 38.8539375853457),-76.7756833714266,38.8539375853457
"44","24033800608","Census Tract 8006.08, Prince George's County, Maryland",c(-76.7455192375623, 38.8515680273801),-76.7455192375623,38.8515680273801
"45","24033800701","Census Tract 8007.01, Prince George's County, Maryland",c(-76.8158580132899, 38.837365385619),-76.8158580132899,38.837365385619
"46","24033800704","Census Tract 8007.04, Prince George's County, Maryland",c(-76.7828556319674, 38.7781158445436),-76.7828556319674,38.7781158445436
"47","24033800705","Census Tract 8007.05, Prince George's County, Maryland",c(-76.7808021093636, 38.7581100480285),-76.7808021093636,38.7581100480285
"48","24033800706","Census Tract 8007.06, Prince George's County, Maryland",c(-76.8216019323456, 38.7828921215337),-76.8216019323456,38.7828921215337
"49","24033800707","Census Tract 8007.07, Prince George's County, Maryland",c(-76.8016427615478, 38.802448107139),-76.8016427615478,38.802448107139
"50","24033800800","Census Tract 8008, Prince George's County, Maryland",c(-76.7422814026007, 38.7096791229251),-76.7422814026007,38.7096791229251
"51","24033800900","Census Tract 8009, Prince George's County, Maryland",c(-76.7262370149103, 38.6084730488952),-76.7262370149103,38.6084730488952
"52","24033801003","Census Tract 8010.03, Prince George's County, Maryland",c(-76.8604775993287, 38.6792062297457),-76.8604775993287,38.6792062297457
"53","24033801004","Census Tract 8010.04, Prince George's County, Maryland",c(-76.8553414625546, 38.7206368693781),-76.8553414625546,38.7206368693781
"54","24033801005","Census Tract 8010.05, Prince George's County, Maryland",c(-76.8336108890403, 38.7559517765808),-76.8336108890403,38.7559517765808
