id,address,matchedness,exactness,matched_address,latitude,longitude,L_or_R,state_code,county_code,tract_code,total_tract_pop_maybe
88,"10456 Baltimore Ave, Beltsville, MD, 20705",Match,Exact,"10456 BALTIMORE AVE, BELTSVILLE, MD, 20705","-76.91888,39.02698",639242623,L,24,33,807405,3005
89,"9810 Apollo Dr, Lake Arbor, MD, 20774",Match,Non_Exact,"9810 APOLLO DR, LARGO, MD, 20774","-76.83793,38.90506",76367353,R,24,33,803514,3010
110,"9530 Crain Hwy, Marlton, MD, 20772",Match,Non_Exact,"9530 CRAIN HWY, UPPER MARLBORO, MD, 20772","-76.80802,38.76007",642143069,L,24,33,800705,1003
111,"6309 New Hampshire Ave, Chillum, MD, 20912",Match,Non_Exact,"6309 NEW HAMPSHIRE AVE, SILVER SPRING, MD, 20912","-77.00233,38.965786",613206779,R,24,33,805201,2005
112,"5500 Silver Hill Rd, Suitland, MD, 20747",Match,Non_Exact,"5500 SILVER HILL RD, FORESTVILLE, MD, 20747","-76.91283,38.85255",76372662,L,24,33,802406,2001
113,"15520 Annapolis Rd, Bowie, MD, 20715",Match,Exact,"15520 ANNAPOLIS RD, BOWIE, MD, 20715","-76.73147,38.980522",76363236,L,24,33,800402,4007
114,"15990 Annapolis Rd, Bowie, MD, 20715",Match,Exact,"15990 ANNAPOLIS RD, BOWIE, MD, 20715","-76.728264,38.982265",76401263,L,24,33,800402,4011
116,"5621 Sargent Rd, Chillum, MD, 20782",Match,Exact,"5621 SARGENT RD, CHILLUM, MD, 20782","-76.98612,38.959938",76391113,R,24,33,805000,3006
117,"5510 Cherrywood Ln Ste B, Greenbelt, MD, 20770",Match,Exact,"5510 CHERRYWOOD LN, GREENBELT, MD, 20770","-76.91187,38.998642",76357798,L,24,33,806714,2002
92,"5686 Silver Hill Rd, District Heights, MD, 20747",Match,Exact,"5686 SILVER HILL RD, DISTRICT HEIGHTS, MD, 20747","-76.91199,38.85272",76372662,L,24,33,802406,2001
93,"4840 Marlboro Pike, Coral Hills, MD, 20743",Match,Non_Exact,"4840 MARLBORO PIKE, CAPITOL HGTS, MD, 20743","-76.92965,38.87321",76371929,L,24,33,802600,2019
94,"12701 Laurel Bowie Rd, South Laurel, MD, 20708",Match,Non_Exact,"12701 LAUREL BOWIE RD, LAUREL, MD, 20708","-76.83944,39.064938",76377159,R,24,33,800211,2010
95,"4201 Northview Dr Ste 104, Bowie, MD, 20716",Match,Exact,"4201 NORTHVIEW DR, BOWIE, MD, 20716","-76.73724,38.947605",76399954,L,24,33,800515,2000
96,"6516 Landover Rd, Cheverly, MD, 20785",Match,Exact,"6516 LANDOVER RD, CHEVERLY, MD, 20785","-76.901505,38.93212",643702467,L,24,33,804102,1024
97,"12701 Laurel Bowie Rd, South Laurel, MD, 20708",Match,Non_Exact,"12701 LAUREL BOWIE RD, LAUREL, MD, 20708","-76.83944,39.064938",76377159,R,24,33,800211,2010
10,"6920 Laurel Bowie Rd, Bowie, MD, 20715",Match,Exact,"6920 LAUREL BOWIE RD, BOWIE, MD, 20715","-76.75739,38.985077",76404584,L,24,33,800409,3009
11,"20 Audrey Ln, Glassmanor, MD, 20745",Match,Non_Exact,"20 AUDREY LN, FOREST HEIGHTS, MD, 20745","-77.003365,38.816444",76311941,L,24,33,801500,2001
99,"9810 Apollo Dr, Lake Arbor, MD, 20774",Match,Non_Exact,"9810 APOLLO DR, LARGO, MD, 20774","-76.83793,38.90506",76367353,R,24,33,803514,3010
12,"9139 Riggs Rd, Adelphi, MD, 20783",Match,Exact,"9139 RIGGS RD, ADELPHI, MD, 20783","-76.970116,39.004765",647275137,R,24,33,805904,2000
13,"6130 Baltimore Ave, Riverdale Park, MD, 20737",Match,Exact,"6130 BALTIMORE AVE, RIVERDALE PARK, MD, 20737","-76.93941,38.962704",76353789,L,24,33,806501,1017
14,"4302 Saint Barnabas Rd Ste B, Marlow Heights, MD, 20748",Match,Exact,"4302 ST BARNABAS RD, MARLOW HEIGHTS, MD, 20748","-76.94175,38.8299",639246517,R,24,33,801907,2003
15,"600 Washington Blvd S, Laurel, MD, 20707",Match,Non_Exact,"600 WASHINGTON BLVD, LAUREL, MD, 20707","-76.84914,39.098793",647278749,L,24,33,800103,2012
16,"10515 Greenbelt Rd, Seabrook, MD, 20706",Match,Exact,"10515 GREENBELT RD, SEABROOK, MD, 20706","-76.825294,38.99024",76384443,R,24,33,800413,2001
19,"10500 Campus Way S, Kettering, MD, 20774",Match,Exact,"10500 CAMPUS WAY S, KETTERING, MD, 20774","-76.822876,38.89577",76381488,L,24,33,803527,1012
120,"2015 Lord Baltimore Dr, Woodlawn, MD, 21244",Match,Non_Exact,"2015 LORD BALTIMORE DR, WINDSOR MILL, MD, 21244","-76.75184,39.31163",191574242,L,24,5,401507,1016
121,"9801 Greenbelt Rd Ste 207, Seabrook, MD, 20706",Match,Exact,"9801 GREENBELT RD, SEABROOK, MD, 20706","-76.84016,38.991425",76402025,R,24,33,800412,1002
122,"7607 Greenbelt Rd, Greenbelt, MD, 20770",Match,Exact,"7607 GREENBELT RD, GREENBELT, MD, 20770","-76.87504,38.994125",76414571,R,24,33,806710,3002
123,"10456 Baltimore Ave, Beltsville, MD, 20705",Match,Exact,"10456 BALTIMORE AVE, BELTSVILLE, MD, 20705","-76.91888,39.02698",639242623,L,24,33,807405,3005
3,"14402 Baltimore Ave Unit 1, Laurel, MD, 20707",Match,Exact,"14402 BALTIMORE AVE, LAUREL, MD, 20707","-76.86033,39.087543",76359114,L,24,33,800213,2043
124,"6235 Oxon Hill Rd, Oxon Hill, MD, 20745",Match,Exact,"6235 OXON HILL RD, OXON HILL, MD, 20745","-76.98578,38.8039",76370130,R,24,33,801405,1002
4,"7939 New Hampshire Ave, Langley Park, MD, 20783",Match,Non_Exact,"7939 NEW HAMPSHIRE AVE, ADELPHI, MD, 20783","-76.98751,38.990025",647279899,R,24,33,805601,3007
125,"5814 Baltimore Ave, Hyattsville, MD, 20781",Match,Exact,"5814 BALTIMORE AVE, HYATTSVILLE, MD, 20781","-76.939995,38.958237",76306157,L,24,33,807500,3028
6,"5707 Riverdale Rd, Riverdale Park, MD, 20737",Match,Exact,"5707 RIVERDALE RD, RIVERDALE PARK, MD, 20737","-76.918755,38.959187",645164286,R,24,33,806601,1007
127,"6001 High Bridge Rd, Bowie, MD, 20720",Match,Exact,"6001 HIGH BRIDGE RD, BOWIE, MD, 20720","-76.77347,38.972363",647295333,R,24,33,800409,3027
7,"15916 Crain Hwy, Brandywine, MD, 20613",Match,Exact,"15916 CRAIN HWY, BRANDYWINE, MD, 20613","-76.87603,38.66997",76385507,L,24,33,801003,2035
128,"9131 Piscataway Rd Ste 670, Clinton, MD, 20735",Match,Exact,"9131 PISCATAWAY RD, CLINTON, MD, 20735","-76.90157,38.764694",642142767,L,24,33,801217,1005
8,"3101 Donnell Dr, Forestville, MD, 20747",Match,Exact,"3101 DONNELL DR, FORESTVILLE, MD, 20747","-76.885216,38.84839",76375286,R,24,33,802103,2017
129,"10480 Campus Way S, Kettering, MD, 20774",Match,Exact,"10480 CAMPUS WAY S, KETTERING, MD, 20774","-76.82289,38.895493",76381488,L,24,33,803527,1012
9,"12000 Cherry Hill Rd, Calverton, MD, 20904",Match,Non_Exact,"12000 CHERRY HILL RD, SILVER SPRING, MD, 20904","-76.95318,39.05267",62114594,R,24,31,701425,2007
20,"13929 Baltimore Ave Ste 4, South Laurel, MD, 20707",Match,Non_Exact,"13929 BALTIMORE AVE, LAUREL, MD, 20707","-76.8646,39.080677",647285914,L,24,33,800213,2004
21,"13202 Steeplechase Dr, Bowie, MD, 20715",Match,Exact,"13202 STEEPLECHASE DR, BOWIE, MD, 20715","-76.77613,38.99877",636220961,L,24,33,800410,2037
22,"6498 Landover Rd, Landover, MD, 20785",Match,Exact,"6498 LANDOVER RD, LANDOVER, MD, 20785","-76.90157,38.932148",643702467,L,24,33,804102,1024
23,"121 Centerway, Greenbelt, MD, 20770",Match,Exact,"121 CENTERWAY, GREENBELT, MD, 20770","-76.87712,39.00047",638324843,L,24,33,806708,4001
24,"3130 Queens Chapel Rd, Chillum, MD, 20782",Match,Exact,"3130 QUEENS CHAPEL RD, CHILLUM, MD, 20782","-76.96767,38.949444",647274910,L,24,33,804900,2001
25,"15501 Annapolis Rd Ste 400, Bowie, MD, 20715",Match,Exact,"15501 ANNAPOLIS RD, BOWIE, MD, 20715","-76.73643,38.978928",647281250,R,24,33,800504,2028
26,"9701 Apollo Dr Ste 400, Lake Arbor, MD, 20774",Match,Non_Exact,"9701 APOLLO DR, LARGO, MD, 20774","-76.84027,38.90564",76367368,L,24,33,803514,3015
27,"4731 Silver Hill Rd, Suitland, MD, 20746",Match,Exact,"4731 SILVER HILL RD, SUITLAND, MD, 20746","-76.92648,38.846714",76414749,R,24,33,802001,3001
28,"3830A 34th St, Mount Rainier, MD, 20712",Match,Exact,"3830 34TH ST, MOUNT RAINIER, MD, 20712","-76.96077,38.937286",638363621,L,24,33,804700,2011
29,"8201 Annapolis Rd, New Carrollton, MD, 20784",Match,Exact,"8201 ANNAPOLIS RD, NEW CARROLLTON, MD, 20784","-76.873085,38.955563",613207606,L,24,33,803612,1010
130,"9270 All Saints Rd, North Laurel, MD, 20723",Match,Non_Exact,"9270 ALL SAINTS RD, LAUREL, MD, 20723","-76.85192,39.119003",158925555,R,24,27,606907,1011
131,"3611 Bladensburg Rd, Colmar Manor, MD, 20722",Match,Exact,"3611 BLADENSBURG RD, COLMAR MANOR, MD, 20722","-76.95163,38.934532",647270225,L,24,33,804400,1021
133,"6000 Greenbelt Rd, Greenbelt, MD, 20770",Match,Exact,"6000 GREENBELT RD, GREENBELT, MD, 20770","-76.91185,38.997997",76411110,R,24,33,806713,2003
134,"7012 Marlboro Pike, Forestville, MD, 20747",Match,Exact,"7012 MARLBORO PIKE, FORESTVILLE, MD, 20747","-76.88424,38.849846",76415068,R,24,33,802203,1022
135,"3415 Hamilton St, Hyattsville, MD, 20782",Match,Exact,"3415 HAMILTON ST, HYATTSVILLE, MD, 20782","-76.96145,38.95534",635751274,R,24,33,806100,3002
