GEOID,total_pop,white_pop,perc_no_cars,pct_nonwhite,,,,TRACTCODE,,TRACTCODE,perc_no_car,,TRACTCODE,pct_nonwhite,,TRACTCODE,total_pop
24033800102,2541,1398,10.4,45,,,,24033800102,,33800102,10.4,,033800102,45,,33800102,2541
24033800103,2409,812,9.8,66,,,,24033800103,,033800103,9.8,,033800103,66,,033800103,2409
24033800105,3909,858,5.4,78,,,,24033800105,,033800105,5.4,,033800105,78,,033800105,3909
24033800106,2648,493,1.2,81,,,,24033800106,,033800106,1.2,,033800106,81,,033800106,2648
24033800108,3373,634,5.8,81,,,,24033800108,,033800108,5.8,,033800108,81,,033800108,3373
24033800109,3720,1070,12.1,71,,,,24033800109,,033800109,12.1,,033800109,71,,033800109,3720
24033800203,4655,3014,1.6,35,,,,24033800203,,033800203,1.6,,033800203,35,,033800203,4655
24033800206,4133,893,4.2,78,,,,24033800206,,033800206,4.2,,033800206,78,,033800206,4133
24033800208,8835,1650,3.5,81,,,,24033800208,,033800208,3.5,,033800208,81,,033800208,8835
24033800209,4404,793,5.6,82,,,,24033800209,,033800209,5.6,,033800209,82,,033800209,4404
24033800210,3193,373,8.8,88,,,,24033800210,,033800210,8.8,,033800210,88,,033800210,3193
24033800211,3437,537,16.4,84,,,,24033800211,,033800211,16.4,,033800211,84,,033800211,3437
24033800212,4931,1102,1.8,78,,,,24033800212,,033800212,1.8,,033800212,78,,033800212,4931
24033800213,4443,1124,3,75,,,,24033800213,,033800213,3,,033800213,75,,033800213,4443
24033800214,2900,651,1.2,78,,,,24033800214,,033800214,1.2,,033800214,78,,033800214,2900
24033800215,2733,351,2.7,87,,,,24033800215,,033800215,2.7,,033800215,87,,033800215,2733
24033800401,2623,1687,0.6,36,,,,24033800401,,033800401,0.6,,033800401,36,,033800401,2623
24033800402,5114,2945,6,42,,,,24033800402,,033800402,6,,033800402,42,,033800402,5114
24033800403,3773,1971,2.6,48,,,,24033800403,,033800403,2.6,,033800403,48,,033800403,3773
24033800408,6985,1216,0.8,83,,,,24033800408,,033800408,0.8,,033800408,83,,033800408,6985
24033800409,5837,1703,3.1,71,,,,24033800409,,033800409,3.1,,033800409,71,,033800409,5837
24033800410,7077,1805,0.5,74,,,,24033800410,,033800410,0.5,,033800410,74,,033800410,7077
24033800411,3995,1022,6.4,74,,,,24033800411,,033800411,6.4,,033800411,74,,033800411,3995
24033800412,3664,372,9.6,90,,,,24033800412,,033800412,9.6,,033800412,90,,033800412,3664
24033800413,4219,282,11.4,93,,,,24033800413,,033800413,11.4,,033800413,93,,033800413,4219
24033800504,4904,2852,2.5,42,,,,24033800504,,033800504,2.5,,033800504,42,,033800504,4904
