tract_code,count
800102,2
800103,2
800211,2
800213,2
800218,1
800402,3
800408,1
800409,2
800410,1
800412,1
800413,2
800504,1
800515,2
800516,4
800605,1
800606,1
800704,1
800705,2
800707,1
801003,3
801105,1
801212,1
801217,5
801307,1
801309,1
801310,1
801312,1
801405,3
801411,2
801500,2
801709,1
801907,1
801908,1
802001,1
802103,3
802203,2
802406,2
802407,2
802600,2
802901,2
803514,3
803527,3
803528,1
803602,1
803606,1
803612,1
803801,1
803803,1
804102,3
804300,2
804400,1
804700,1
804900,1
805000,2
805201,1
805601,1
805904,2
805908,1
806000,3
806100,2
806501,2
806601,1
806708,1
806710,3
806713,2
806714,2
806900,1
807000,1
807404,1
807405,3
807407,1
807408,1
807500,1
980000,2
